element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
He,1,"=""""","=""""","=""3732.8325094""","=""0.0000003""","=""""","=""7.237e+03""",AA,"=""[193917.15128741]""","=""[196596.082092602]""","=""1s.5d""","=""3D""","=""3""","=""1s.8f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3732.8334027""","=""0.0000003""","=""""","=""5.568e+04""",AA,"=""[193917.15192855]""","=""[196596.082092602]""","=""1s.5d""","=""3D""","=""2""","=""1s.8f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3732.8348092""","=""0.0000003""","=""""","=""1.2278e+03""",AAA,"=""[193917.15128741]""","=""[196596.080442094]""","=""1s.5d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3732.8357026""","=""0.0000003""","=""""","=""4.2968e+04""",AAA,"=""[193917.15192855]""","=""[196596.080442094]""","=""1s.5d""","=""3D""","=""2""","=""1s.8f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3732.8363086""","=""0.0000003""","=""""","=""2.7625e+05""",AAA,"=""[193917.15128741]""","=""[196596.079366013]""","=""1s.5d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3732.8371529""","=""0.0000003""","=""""","=""2.3458e+04""",AAA,"=""[193917.15128741]""","=""[196596.078760123]""","=""1s.5d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3732.8380462""","=""0.0000003""","=""""","=""1.8988e+05""",AAA,"=""[193917.15192855]""","=""[196596.078760123]""","=""1s.5d""","=""3D""","=""2""","=""1s.8f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3732.8488822""","=""0.0000003""","=""""","=""2.3205e+05""",AAA,"=""[193917.16138710]""","=""[196596.080442094]""","=""1s.5d""","=""3D""","=""1""","=""1s.8f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""3733.0001821""","=""0.0000003""","=""""","=""""",,"=""[193906.89057812]""","=""[196585.701055558]""","=""1s.5d""","=""3D""","=""3""","=""1s.8f""","=""1F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3733.0010751""","=""0.0000003""","=""""","=""""",,"=""[193906.89121896]""","=""[196585.701055558]""","=""1s.5d""","=""3D""","=""2""","=""1s.8f""","=""1F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3733.0024809""","=""0.0000003""","=""""","=""""",,"=""[193906.89057812]""","=""[196585.699405907]""","=""1s.5d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""2""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3733.0033739""","=""0.0000003""","=""""","=""""",,"=""[193906.89121896]""","=""[196585.699405907]""","=""1s.5d""","=""3D""","=""2""","=""1s.8f""","=""3F*""","=""2""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3733.0039803""","=""0.0000003""","=""""","=""""",,"=""[193906.89057812]""","=""[196585.698329969]""","=""1s.5d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3733.0048249""","=""0.0000003""","=""""","=""""",,"=""[193906.89057812]""","=""[196585.697723870]""","=""1s.5d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3733.0057179""","=""0.0000003""","=""""","=""""",,"=""[193906.89121896]""","=""[196585.697723870]""","=""1s.5d""","=""3D""","=""2""","=""1s.8f""","=""3F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3733.0165531""","=""0.0000003""","=""""","=""""",,"=""[193906.90067630]""","=""[196585.699405907]""","=""1s.5d""","=""3D""","=""1""","=""1s.8f""","=""3F*""","=""2""",,"=""""","=""""",
Th,1,"=""3733.5257""","=""0.0010""","=""3733.52584""","=""0.00014""","=""11""","=""""",,"=""25355.57481""","=""28034.00813""","=""""","=""*""","=""4""","=""""","=""""","=""5""",,"=""""","=""L9974""",
K,1,"=""3734.119""","=""0.010""","=""3734.119""","=""0.010""","=""1""","=""5.68e+05""",AA,"=""24720.139""","=""27398.147""","=""3p6.5p""","=""2P*""","=""3/2""","=""3p6.4d""","=""2D""","=""3/2""",,"=""T9168""","=""L1792""",
He,1,"=""""","=""""","=""3734.41973275""","=""0.00000024""","=""""","=""2.1319e+05""",AAA,"=""[193918.28990114]""","=""[196596.082092602]""","=""1s.5d""","=""1D""","=""2""","=""1s.8f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3734.42438019""","=""0.00000024""","=""""","=""6.287e+04""",AA,"=""[193918.28990114]""","=""[196596.078760123]""","=""1s.5d""","=""1D""","=""2""","=""1s.8f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""3734.58621858""","=""0.00000024""","=""""","=""""",,"=""[193908.02823862]""","=""[196585.701055558]""","=""1s.5d""","=""1D""","=""2""","=""1s.8f""","=""1F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3734.59086533""","=""0.00000024""","=""""","=""""",,"=""[193908.02823862]""","=""[196585.697723870]""","=""1s.5d""","=""1D""","=""2""","=""1s.8f""","=""3F*""","=""3""",,"=""""","=""""",
C,1,"=""3734.8990""","=""0.0003""","=""3734.8990""","=""0.0003""","=""17000""","=""1.15e+06""",B,"=""78105.00058""","=""80782.44916""","=""2s2.2p.4s""","=""3P*""","=""0""","=""2s2.2p.4p""","=""3D""","=""1""",,"=""T6070n""","=""L12175c183""",
Mg,1,"=""""","=""""","=""3735.6""","=""1.0""","=""""","=""3.21e+03""",E,"=""57204.228""","=""59881.181""","=""3s.5f""","=""3F*""","=""2""","=""3s.8d""","=""3D""","=""2""",,"=""T6298c72,LS""","=""""",
Mg,1,"=""""","=""""","=""3735.6""","=""1.0""","=""""","=""2.88e+04""",D+,"=""57204.228""","=""59881.196""","=""3s.5f""","=""3F*""","=""2""","=""3s.8d""","=""3D""","=""1""",,"=""T6298c72,LS""","=""""",
Mg,1,"=""""","=""""","=""3735.7""","=""1.0""","=""""","=""2.29e+03""",E,"=""57204.267""","=""59881.168""","=""3s.5f""","=""3F*""","=""3""","=""3s.8d""","=""3D""","=""3""",,"=""T6298c72,LS""","=""""",
Mg,1,"=""""","=""""","=""3735.6""","=""1.0""","=""""","=""2.56e+04""",D+,"=""57204.267""","=""59881.181""","=""3s.5f""","=""3F*""","=""3""","=""3s.8d""","=""3D""","=""2""",,"=""T6298c72,LS""","=""""",
Mg,1,"=""""","=""""","=""3735.6""","=""1.0""","=""""","=""6.45e+01""",E,"=""57204.228""","=""59881.168""","=""3s.5f""","=""3F*""","=""2""","=""3s.8d""","=""3D""","=""3""",,"=""T6298c72,LS""","=""""",
K,1,"=""3735.611""","=""0.010""","=""3735.611""","=""0.010""","=""5""","=""3.406e+06""",AA,"=""24720.139""","=""27397.077""","=""3p6.5p""","=""2P*""","=""3/2""","=""3p6.4d""","=""2D""","=""5/2""",,"=""T9168""","=""L1792""",
Mg,1,"=""""","=""""","=""3735.7""","=""1.0""","=""""","=""2.65e+04""",C,"=""57204.305""","=""59881.168""","=""3s.5f""","=""3F*""","=""4""","=""3s.8d""","=""3D""","=""3""",,"=""T6298c72,LS""","=""""",
Th,2,"=""3735.9872""","=""0.0015""","=""3735.9882""","=""0.0003""","=""1""","=""""",,"=""10572.04139""","=""13248.70938""","=""5f.6d.(3H*).7s""","=""*""","=""9/2""","=""6d3""","=""4F""","=""9/2""",,"=""""","=""L9974""",
Si,3,"=""""","=""""","=""3736.5""","=""1.0""","=""""","=""3.25e+02""",D+,"=""198923.15""","=""201599.48""","=""3p.3d""","=""3F*""","=""2""","=""3s.4d""","=""3D""","=""3""",,"=""c44""","=""""",
Si,3,"=""""","=""""","=""3737.3""","=""1.0""","=""""","=""2.03e+03""",C,"=""242410.88""","=""245086.58""","=""3s.6f""","=""3F*""","=""2""","=""3p.4p""","=""3D""","=""3""",,"=""T6298c4,LS""","=""""",
Th,1,"=""3737.6035""","=""0.0011""","=""3737.60334""","=""0.00014""","=""5""","=""""",,"=""23201.98997""","=""25877.50128""","=""5f.6d.7s.7p""","=""5G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L9974""",
Si,3,"=""""","=""""","=""3737.9""","=""1.0""","=""""","=""7.21e+04""",B,"=""242411.27""","=""245086.58""","=""3s.6f""","=""3F*""","=""3""","=""3p.4p""","=""3D""","=""3""",,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""""","=""3738.1""","=""1.0""","=""""","=""1.59e+04""",B,"=""198923.15""","=""201598.28""","=""3p.3d""","=""3F*""","=""2""","=""3s.4d""","=""3D""","=""2""",,"=""c44""","=""""",
He,1,"=""""","=""""","=""3738.18765783""","=""0.00000004""","=""""","=""8.416e+03""",AA,"=""[193921.11826439]""","=""[196596.211361727]""","=""1s.5f""","=""3F*""","=""3""","=""1s.8g""","=""1G""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.18823838""","=""0.00000004""","=""""","=""1.7597e+04""",AAA,"=""[193921.11826439]""","=""[196596.210946275]""","=""1s.5f""","=""3F*""","=""3""","=""1s.8g""","=""3G""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.19004075""","=""0.00000004""","=""""","=""2.9181e+05""",AAA,"=""[193921.11826439]""","=""[196596.209656481]""","=""1s.5f""","=""3F*""","=""3""","=""1s.8g""","=""3G""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.19195955""","=""0.00000004""","=""""","=""9.418e+03""",AA,"=""[193921.12134275]""","=""[196596.211361727]""","=""1s.5f""","=""3F*""","=""4""","=""1s.8g""","=""1G""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.19254010""","=""0.00000004""","=""""","=""4.0040e+02""",AAA,"=""[193921.12134275]""","=""[196596.210946275]""","=""1s.5f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.19339928""","=""0.00000004""","=""""","=""3.1391e+05""",AAA,"=""[193921.12134275]""","=""[196596.210331441]""","=""1s.5f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.19434247""","=""0.00000004""","=""""","=""1.0202e+04""",AAA,"=""[193921.12134275]""","=""[196596.209656481]""","=""1s.5f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.19870317""","=""0.00000004""","=""""","=""2.8829e+05""",AAA,"=""[193921.12575310]""","=""[196596.210946275]""","=""1s.5f""","=""3F*""","=""2""","=""1s.8g""","=""3G""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.20528859""","=""0.00000004""","=""""","=""2.9608e+05""",AAA,"=""[193921.13088112]""","=""[196596.211361727]""","=""1s.5f""","=""1F*""","=""3""","=""1s.8g""","=""1G""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.20586915""","=""0.00000004""","=""""","=""7.629e+03""",AA,"=""[193921.13088112]""","=""[196596.210946275]""","=""1s.5f""","=""1F*""","=""3""","=""1s.8g""","=""3G""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.20767153""","=""0.00000004""","=""""","=""1.190e+04""",AA,"=""[193921.13088112]""","=""[196596.209656481]""","=""1s.5f""","=""1F*""","=""3""","=""1s.8g""","=""3G""","=""4""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""3738.35521029""","=""0.00000004""","=""""","=""""",,"=""[193910.85712967]""","=""[196585.830329774]""","=""1s.5f""","=""3F*""","=""3""","=""1s.8g""","=""1G""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3738.35579089""","=""0.00000004""","=""""","=""""",,"=""[193910.85712967]""","=""[196585.829914329]""","=""1s.5f""","=""3F*""","=""3""","=""1s.8g""","=""3G""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3738.35759325""","=""0.00000004""","=""""","=""""",,"=""[193910.85712967]""","=""[196585.828624657]""","=""1s.5f""","=""3F*""","=""3""","=""1s.8g""","=""3G""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3738.35951333""","=""0.00000004""","=""""","=""""",,"=""[193910.86020870]""","=""[196585.830329774]""","=""1s.5f""","=""3F*""","=""4""","=""1s.8g""","=""1G""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3738.36009393""","=""0.00000004""","=""""","=""""",,"=""[193910.86020870]""","=""[196585.829914329]""","=""1s.5f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3738.36095307""","=""0.00000004""","=""""","=""""",,"=""[193910.86020870]""","=""[196585.829299578]""","=""1s.5f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""5""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3738.36189629""","=""0.00000004""","=""""","=""""",,"=""[193910.86020870]""","=""[196585.828624657]""","=""1s.5f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3738.36625672""","=""0.00000004""","=""""","=""""",,"=""[193910.86461845]""","=""[196585.829914329]""","=""1s.5f""","=""3F*""","=""2""","=""1s.8g""","=""3G""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3738.37283974""","=""0.00000004""","=""""","=""""",,"=""[193910.86974433]""","=""[196585.830329774]""","=""1s.5f""","=""1F*""","=""3""","=""1s.8g""","=""1G""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3738.37342034""","=""0.00000004""","=""""","=""""",,"=""[193910.86974433]""","=""[196585.829914329]""","=""1s.5f""","=""1F*""","=""3""","=""1s.8g""","=""3G""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3738.37522272""","=""0.00000004""","=""""","=""""",,"=""[193910.86974433]""","=""[196585.828624657]""","=""1s.5f""","=""1F*""","=""3""","=""1s.8g""","=""3G""","=""4""",,"=""""","=""""",
Si,3,"=""""","=""""","=""3738.5""","=""1.0""","=""""","=""8.35e+05""",B+,"=""242411.70""","=""245086.58""","=""3s.6f""","=""3F*""","=""4""","=""3p.4p""","=""3D""","=""3""",,"=""T6298c4,LS""","=""""",
V,1,"=""3738.598""","=""0.003""","=""3738.5987""","=""0.0014""","=""83""","=""3.8e+05""",C,"=""43555.331""","=""46230.130""","=""3d4.(5D).5p""","=""q 4D*""","=""7/2""","=""3d4.(5D).6s""","=""4D""","=""7/2""",,"=""u38""","=""L11697""",
He,1,"=""""","=""""","=""3738.838739683""","=""0.000000010""","=""""","=""9.272e+00""",AA,"=""[193921.614948739]""","=""[196596.242205021]""","=""1s.5g""","=""3G""","=""4""","=""1s.8h""","=""1H*""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.839156757""","=""0.000000010""","=""""","=""5.9389e+03""",AAA,"=""[193921.614948739]""","=""[196596.241906662]""","=""1s.5g""","=""3G""","=""4""","=""1s.8h""","=""3H*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.840331453""","=""0.000000010""","=""""","=""2.2915e+05""",AAA,"=""[193921.614948739]""","=""[196596.241066328]""","=""1s.5g""","=""3G""","=""4""","=""1s.8h""","=""3H*""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.842612578""","=""0.000000010""","=""""","=""4.538e+03""",AA,"=""[193921.617719262]""","=""[196596.242205021]""","=""1s.5g""","=""3G""","=""5""","=""1s.8h""","=""1H*""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.843029652""","=""0.000000010""","=""""","=""1.1556e+02""",AAA,"=""[193921.617719262]""","=""[196596.241906662]""","=""1s.5g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.843588560""","=""0.000000010""","=""""","=""2.3402e+05""",AAA,"=""[193921.617719262]""","=""[196596.241506841]""","=""1s.5g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""6""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.844204351""","=""0.000000010""","=""""","=""4.8232e+03""",AAA,"=""[193921.617719262]""","=""[196596.241066328]""","=""1s.5g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.846550785""","=""0.000000010""","=""""","=""2.2246e+05""",AAA,"=""[193921.620238142]""","=""[196596.241906662]""","=""1s.5g""","=""3G""","=""3""","=""1s.8h""","=""3H*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.848503089""","=""0.000000010""","=""""","=""2.2947e+05""",AAA,"=""[193921.621933101]""","=""[196596.242205021]""","=""1s.5g""","=""1G""","=""4""","=""1s.8h""","=""1H*""","=""5""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.848920165""","=""0.000000010""","=""""","=""5.502e+03""",AA,"=""[193921.621933101]""","=""[196596.241906662]""","=""1s.5g""","=""1G""","=""4""","=""1s.8h""","=""3H*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3738.850094867""","=""0.000000010""","=""""","=""4.520e+01""",AA,"=""[193921.621933101]""","=""[196596.241066328]""","=""1s.5g""","=""1G""","=""4""","=""1s.8h""","=""3H*""","=""5""",,"=""T8636c73""","=""""",
Si,3,"=""""","=""""","=""3738.9""","=""1.0""","=""""","=""1.44e+05""",B+,"=""198923.15""","=""201597.73""","=""3p.3d""","=""3F*""","=""2""","=""3s.4d""","=""3D""","=""1""",,"=""c44""","=""""",
3He,1,"=""""","=""""","=""3739.006373765""","=""0.000000010""","=""""","=""""",,"=""[193911.353831950]""","=""[196585.861174373]""","=""1s.5g""","=""3G""","=""4""","=""1s.8h""","=""1H*""","=""5""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.006790869""","=""0.000000010""","=""""","=""""",,"=""[193911.353831950]""","=""[196585.860876019]""","=""1s.5g""","=""3G""","=""4""","=""1s.8h""","=""3H*""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.007965560""","=""0.000000010""","=""""","=""""",,"=""[193911.353831950]""","=""[196585.860035764]""","=""1s.5g""","=""3G""","=""4""","=""1s.8h""","=""3H*""","=""5""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.010246779""","=""0.000000010""","=""""","=""""",,"=""[193911.356602310]""","=""[196585.861174373]""","=""1s.5g""","=""3G""","=""5""","=""1s.8h""","=""1H*""","=""5""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.010663884""","=""0.000000010""","=""""","=""""",,"=""[193911.356602310]""","=""[196585.860876019]""","=""1s.5g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.011222766""","=""0.000000010""","=""""","=""""",,"=""[193911.356602310]""","=""[196585.860476252]""","=""1s.5g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""6""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.011838577""","=""0.000000010""","=""""","=""""",,"=""[193911.356602310]""","=""[196585.860035764]""","=""1s.5g""","=""3G""","=""5""","=""1s.8h""","=""3H*""","=""5""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.014184859""","=""0.000000010""","=""""","=""""",,"=""[193911.359120852]""","=""[196585.860876019]""","=""1s.5g""","=""3G""","=""3""","=""1s.8h""","=""3H*""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.016137318""","=""0.000000010""","=""""","=""""",,"=""[193911.360815791]""","=""[196585.861174373]""","=""1s.5g""","=""1G""","=""4""","=""1s.8h""","=""1H*""","=""5""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.016554424""","=""0.000000010""","=""""","=""""",,"=""[193911.360815791]""","=""[196585.860876019]""","=""1s.5g""","=""1G""","=""4""","=""1s.8h""","=""3H*""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.017729121""","=""0.000000010""","=""""","=""""",,"=""[193911.360815791]""","=""[196585.860035764]""","=""1s.5g""","=""1G""","=""4""","=""1s.8h""","=""3H*""","=""5""",,"=""""","=""""",
He,1,"=""""","=""""","=""3739.062572874""","=""0.000000017""","=""""","=""1.717e+02""",AA,"=""[193921.614948739]""","=""[196596.082092602]""","=""1s.5g""","=""3G""","=""4""","=""1s.8f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3739.066384810""","=""0.000000017""","=""""","=""6.0558e+01""",AAA,"=""[193921.614948739]""","=""[196596.079366013]""","=""1s.5g""","=""3G""","=""4""","=""1s.8f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3739.067231882""","=""0.000000017""","=""""","=""2.1503e+03""",AAA,"=""[193921.614948739]""","=""[196596.078760123]""","=""1s.5g""","=""3G""","=""4""","=""1s.8f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3739.069967786""","=""0.000000017""","=""""","=""3.537e+01""",AA,"=""[193921.620238142]""","=""[196596.082092602]""","=""1s.5g""","=""3G""","=""3""","=""1s.8f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3739.070258176""","=""0.000000017""","=""""","=""2.2814e+03""",AAA,"=""[193921.617719262]""","=""[196596.079366013]""","=""1s.5g""","=""3G""","=""5""","=""1s.8f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3739.072275304""","=""0.000000017""","=""""","=""2.3999e+03""",AAA,"=""[193921.620238142]""","=""[196596.080442094]""","=""1s.5g""","=""3G""","=""3""","=""1s.8f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3739.072337449""","=""0.000000017""","=""""","=""2.1927e+03""",AAA,"=""[193921.621933101]""","=""[196596.082092602]""","=""1s.5g""","=""1G""","=""4""","=""1s.8f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3739.074626812""","=""0.000000017""","=""""","=""1.1463e+02""",AAA,"=""[193921.620238142]""","=""[196596.078760123]""","=""1s.5g""","=""3G""","=""3""","=""1s.8f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3739.076149405""","=""0.000000017""","=""""","=""5.610e+01""",AA,"=""[193921.621933101]""","=""[196596.079366013]""","=""1s.5g""","=""1G""","=""4""","=""1s.8f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3739.076996481""","=""0.000000017""","=""""","=""1.350e+02""",AA,"=""[193921.621933101]""","=""[196596.078760123]""","=""1s.5g""","=""1G""","=""4""","=""1s.8f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Th,1,"=""3739.1232""","=""0.0006""","=""3739.12268""","=""0.00007""","=""51""","=""""",,"=""10414.13700""","=""13088.56115""","=""5f.6d.7s2""","=""1G*""","=""4""","=""6d3.(2G).7s""","=""3G""","=""3""",,"=""""","=""L14361""",
3He,1,"=""""","=""""","=""3739.230235971""","=""0.000000017""","=""""","=""""",,"=""[193911.353831950]""","=""[196585.701055558]""","=""1s.5g""","=""3G""","=""4""","=""1s.8f""","=""1F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.234046851""","=""0.000000017""","=""""","=""""",,"=""[193911.353831950]""","=""[196585.698329969]""","=""1s.5g""","=""3G""","=""4""","=""1s.8f""","=""3F*""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.234894291""","=""0.000000017""","=""""","=""""",,"=""[193911.353831950]""","=""[196585.697723870]""","=""1s.5g""","=""3G""","=""4""","=""1s.8f""","=""3F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.237630845""","=""0.000000017""","=""""","=""""",,"=""[193911.359120852]""","=""[196585.701055558]""","=""1s.5g""","=""3G""","=""3""","=""1s.8f""","=""1F*""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.237920336""","=""0.000000017""","=""""","=""""",,"=""[193911.356602310]""","=""[196585.698329969]""","=""1s.5g""","=""3G""","=""5""","=""1s.8f""","=""3F*""","=""4""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3739.239937372""","=""0.000000017""","=""""","=""""",,"=""[193911.359120852]""","=""[196585.699405907]""","=""1s.5g""","=""3G""","=""3""","=""1s.8f""","=""3F*""","=""2""",,"=""""","=""""",
